City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,polonnaruwa,7.93,81.0,78.89,81,95,7.02,LK,1595255951
298,kudahuvadhoo,2.67,72.89,83.88,76,100,18.68,MV,1595255951
300,jinchang,38.5,102.17,77.25,31,9,3.2,CN,1595255951
301,bandarbeyla,9.49,50.81,85.24,50,100,23.85,SO,1595255951
302,zhigansk,66.77,123.37,60.64,94,100,7.65,RU,1595255952
303,naze,28.37,129.48,80.6,94,20,2.24,JP,1595255952
304,nouadhibou,20.93,-17.03,84.2,54,65,8.05,MR,1595255952
305,krasne,49.91,24.61,77.0,61,40,6.71,UA,1595255952
306,saint-joseph,-21.37,55.62,69.8,60,64,20.8,RE,1595255952
307,asbestovskiy,57.76,61.4,66.24,69,97,8.14,RU,1595255952
308,chiredzi,-21.05,31.67,69.03,50,1,6.71,ZW,1595255952
311,pitimbu,-7.47,-34.81,75.2,100,75,13.87,BR,1595255953
312,tayginka,55.62,60.51,67.37,94,100,5.28,RU,1595255953
313,waipawa,-41.41,175.52,54.0,85,100,8.72,NZ,1595255953
314,vrede,-27.43,29.17,59.68,25,0,4.09,ZA,1595255953
315,mount gambier,-37.83,140.77,42.8,100,75,4.7,AU,1595255953
316,shu,43.6,73.76,84.42,26,68,11.23,KZ,1595255954
317,bethel,41.37,-73.41,84.0,69,1,8.05,US,1595255954
318,salekhard,66.53,66.6,66.25,57,86,8.01,RU,1595255954
319,beamsville,43.17,-79.48,81.0,67,0,1.01,CA,1595255954
320,flinders,-34.58,150.86,51.01,62,0,5.01,AU,1595255954
321,oriximina,-1.77,-55.87,90.41,47,84,6.64,BR,1595255954
323,kommunisticheskiy,61.68,64.48,65.35,53,0,5.64,RU,1595255954
324,brae,60.4,-1.35,57.2,71,20,10.29,GB,1595255955
325,poya,-21.35,165.15,63.45,69,51,1.95,NC,1595255955
326,golubitskaya,45.32,37.28,87.8,40,20,20.13,RU,1595255955
327,upata,8.01,-62.4,84.99,69,79,1.01,VE,1595255955
328,macklin,52.33,-109.93,59.22,86,12,8.86,CA,1595255955
329,kedrovyy,56.17,91.82,68.0,68,100,4.47,RU,1595255955
330,aykhal,66.0,111.5,55.4,87,90,6.71,RU,1595255956
331,santa maria,-12.0,-76.9,62.6,72,90,4.7,PE,1595255875
332,yar-sale,66.83,70.83,64.24,55,100,2.89,RU,1595255956
333,ancud,-41.87,-73.82,50.0,100,90,3.36,CL,1595255956
334,porto novo,17.02,-25.06,84.2,70,20,9.17,CV,1595255956
335,ozernovskiy,51.5,156.52,48.52,90,41,1.88,RU,1595255956
336,port hueneme,34.15,-119.2,64.0,87,90,1.57,US,1595255956
337,great falls,47.5,-111.3,57.99,82,90,6.93,US,1595255957
338,grimshaw,56.18,-117.6,57.99,93,75,4.7,CA,1595255957
339,tommot,58.96,126.29,64.24,91,100,2.86,RU,1595255957
340,bani walid,31.76,13.99,92.86,24,0,16.58,LY,1595255957
341,whitehorse,60.72,-135.05,51.8,87,75,20.8,CA,1595255957
342,carutapera,-1.2,-46.02,87.57,55,42,9.46,BR,1595255957
343,oum hadjer,13.3,19.7,84.67,54,65,8.61,TD,1595255957
344,brewster,41.4,-73.62,84.99,69,1,8.05,US,1595255897
345,olavarria,-36.89,-60.32,53.01,98,98,1.01,AR,1595255958
346,amahai,-3.33,128.92,77.09,88,53,7.58,ID,1595255931
347,fort nelson,58.81,-122.7,57.2,82,75,4.7,CA,1595255958
348,tahe,52.33,124.73,51.87,87,6,4.88,CN,1595255958
349,iqaluit,63.75,-68.51,42.8,100,90,3.36,CA,1595255958
350,zvishavane,-20.33,30.07,64.13,50,0,11.16,ZW,1595255958
351,ambunti,-4.24,142.84,73.26,95,96,1.48,PG,1595255958
352,curillo,1.03,-75.92,78.55,77,99,3.56,CO,1595255958
353,ucluelet,48.93,-125.55,59.0,93,5,0.54,CA,1595255937
354,northam,-31.67,116.67,53.6,71,0,6.93,AU,1595255959
355,nueve de julio,-35.44,-60.88,57.0,97,40,1.99,AR,1595255959
356,akyab,20.15,92.9,81.93,80,100,3.31,MM,1595255959
357,spearfish,44.49,-103.86,72.0,64,1,3.36,US,1595255752
358,ballina,-28.87,153.57,53.6,76,40,5.82,AU,1595255959
361,tomatlan,19.93,-105.25,85.3,63,7,1.59,MX,1595255959
362,formello,42.08,12.4,89.6,25,6,11.41,IT,1595255960
363,aswan,24.09,32.91,110.16,10,0,7.25,EG,1595255960
364,honiara,-9.43,159.95,77.0,94,40,3.6,SB,1595255861
365,vao,-22.67,167.48,68.76,71,1,14.67,NC,1595255928
366,road town,18.42,-64.62,86.0,70,40,9.17,VG,1595255716
367,broome,-17.97,122.23,64.4,82,67,5.66,AU,1595255960
369,tweed,44.48,-77.32,81.0,72,0,5.01,CA,1595255960
370,half moon bay,37.46,-122.43,62.01,87,90,3.36,US,1595255849
371,yumen,40.28,97.2,80.71,16,100,7.56,CN,1595255961
372,yayva,59.33,57.26,66.99,49,88,4.0,RU,1595255961
373,dingzhou,38.51,115.0,80.6,57,67,6.71,CN,1595255961
374,paamiut,61.99,-49.67,48.33,68,100,2.33,GL,1595255961
